id,title,in_stock,price,players,age,maker,bbg_url,url
ranok003,Монополія (Monopoly),В наявності,675.0,2 - 6,10+,Ранок,,https://geekach.com.ua/monopoliya-monopoly/12561/
349476,3 в 1. Подорожуємо світом,В наявності,750.0,2 - 4,8+,Ранок,,https://geekach.com.ua/3-v-1.-podorozhuiemo-svitom/
ranok007,Мафія (Ранок),В наявності,330.0,7 - 20,9+,Ранок,,https://geekach.com.ua/mafiya-ranok/
82753,Темпо! (Granna),В наявності,599.0,2 - 12,8+,Granna,,https://geekach.com.ua/tempo-ukr/
230001-UA,Тоодли,В наявності,600.0,2 - 4,6+,Така Мака,,https://geekach.com.ua/toodli/
457650,Я люблю динозаврів. Набір для креативних розваг,В наявності,510.0,,6+,Ранок,,https://geekach.com.ua/ya-lublu-dinozavriv.-nabir-dlya-kreativnikh-rozvag/
mlvy011,Дуб. Дерево слів,В наявності,790.0,2 - 5,5+,Мальви,,https://geekach.com.ua/dub.-derevo-sliv/
mlvy012,"Комплект Йоржик-жоржик, Тукан-повторян та Мишка-мімішка",В наявності,1140.0,2 - 4,4+,Мальви,,https://geekach.com.ua/komplekt-yorzhik-zhorzhik-tukan-povtoryan-ta-mishka-mimishka/
mlvy013,Комплект Українська та англійська абетки,В наявності,717.0,2 - 4,4+,Мальви,,https://geekach.com.ua/komplekt-ukrainska-ta-angliyska-abetki/
mlvy014,Комплект Муркітливе додавання та віднімання,В наявності,739.0,2 - 4,5+,Мальви,,https://geekach.com.ua/komplekt-murkitlive-dodavannya-ta-vidnimannya/
sitdow01,Penny Papers Adventures: Valley of Wiraqocha,В наявності,216.0,1 - 99,9+,Sit Down!,,https://geekach.com.ua/penny-papers-adventures-valley-of-wiraqocha/
82517,Ілюстроване Лото,В наявності,279.0,1 - 4,3+,Granna,,https://geekach.com.ua/ilustrovane-loto/
82531,Мої динозаври (Granna),В наявності,249.0,1 - 4,3+,Granna,,https://geekach.com.ua/moi-dinozavri/
83828,Хто помиє посуд?,В наявності,349.0,2 - 4,6+,Granna,,https://geekach.com.ua/khto-pomiie-posud/
SGT 240 UKR,Ноїв ковчег. Дорожня магнітна гра,В наявності,449.0,1,5+,SmartGames,,https://geekach.com.ua/noiv-kovcheg.-dorozhnya-magnitna-gra/
SGT 290 UKR,Підземні пригоди або Де чия нора? Дорожня магнітна гра,В наявності,469.0,1,4+,SmartGames,,https://geekach.com.ua/pidzemni-prigodi-abo-de-chiya-nora.-dorozhnya-magnitna-gra/
54005,Мексиканський експрес (в металевій коробці),В наявності,1499.0,2 - 8,7+,Tactic,,https://geekach.com.ua/meksikanskiy-ekspres-v-metaleviy-korobtsi/
54553,Золота Армада,В наявності,439.0,2 - 4,7+,Tactic,,https://geekach.com.ua/zolota-armada/
55685,Експедиція до Єгипту,В наявності,249.0,2 - 4,4+,Tactic,,https://geekach.com.ua/ekspeditsiya-do-iegiptu/
