id,title,in_stock,price,players,age,maker,bbg_url,url
1497491727,Тамашіі: Хроніка Сходження (Tamashii: Chronicle of Ascend),В наявності,5395.0,1-4,13+,Ігрова майстерня,https://boardgamegeek.com/boardgame/356754/tamashii-chronicle-of-ascend,https://gameland.com.ua/tamashii-khronika-skhodzhennia-tamashii-chronicle-of-ascend/
1497490076,"Camel Up: Off Season (Верблюди, вперед! У міжсезонні)",В наявності,1770.0,3-5,8+,Plan B Games,https://boardgamegeek.com/boardgame/335271/camel-season,https://gameland.com.ua/camel-up-off-season-verblіudy-vpered-u-mizhsezonni/
1497490859,Детектив. Сучасне розслідування (Detective: A Modern Crime Board Game),В наявності,2050.0,1-5,16+,Geekach,https://boardgamegeek.com/boardgame/223321/detective-modern-crime-board-game,https://gameland.com.ua/detektyv.-suchasne-rozsliduvannia-detective-a-modern-crime-board-game/
1497489268,Таємні лідери (Hidden Leaders),В наявності,850.0,2-6,10+,Geekach,https://boardgamegeek.com/boardgame/320718/hidden-leaders,https://gameland.com.ua/taiemni-lidery-hidden-leaders/
1497490058,Остання місія (Quest),В наявності,780.0,4-10,14+,Geekach,https://boardgamegeek.com/boardgame/316287/quest,https://gameland.com.ua/ostannia-misiia-quest/
1497490759,Парк водоспадів (Waterfall Park),В наявності,1478.0,3-5,10+,Games 7 Days,https://boardgamegeek.com/boardgame/396618/waterfall-park,https://gameland.com.ua/park-vodospadiv-waterfall-park/
1497489569,King of Monster Island,В наявності,2199.0,1-5,10+,IELLO,https://boardgamegeek.com/boardgame/350755/king-monster-island,https://gameland.com.ua/king-of-monster-island/
1497489443,Пандемія Спадщина: Сезон 1 (Pandemic: Legacy - Season 1),В наявності,3555.0,2-4,13+,Ігромаг,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,https://gameland.com.ua/pandemic-legacy-season-1-red-version/
1497490123,Голод (The Hunger),В наявності,1990.0,2-6,12+,Games 7 Days,https://boardgamegeek.com/boardgame/339906/hunger,https://gameland.com.ua/holod-the-hunger/
1497489327,Boonlake,В наявності,3300.0,1-4,14+,Capstone Games,https://boardgamegeek.com/boardgame/343905/boonlake,https://gameland.com.ua/boonlake/
14974889121,Безодня (Abyss) (укр.),В наявності,1995.0,2-4,14+,IGAMES,https://boardgamegeek.com/boardgame/155987/abyss,https://gameland.com.ua/bezodnia-abyss-ua/
1497489813,Дорфромантік - Фермерськи Пригоди (Dorfromantik: The Board Game),В наявності,1950.0,1-6,8+,Ігрова майстерня,https://boardgamegeek.com/boardgame/370591/dorfromantik-board-game,https://gameland.com.ua/dorfromantik-the-board-game/
1497490731,Алхіміки (Alchemists),В наявності,1965.0,2-4,13+,Lord Of Boards,https://boardgamegeek.com/boardgame/161970/alchemists,https://gameland.com.ua/alkhimiky-alchemists/
1497490523,Паперові Океани (Sea Salt & Paper),В наявності,645.0,2-4,8+,IGAMES,https://boardgamegeek.com/boardgame/367220/sea-salt-paper,https://gameland.com.ua/paperovi-okeany-sea-salt-paper/
GKCH186dw,Дюна. Війна за Арракіс (Dune: War for Arrakis),В наявності,5800.0,1-4,14+,Geekach,https://boardgamegeek.com/boardgame/367150/dune-war-arrakis,https://gameland.com.ua/diuna.-viina-za-arrakis-dune-war-for-arrakis/
1497490513,Тілетум (Tiletum),В наявності,2495.0,1-4,14+,Ігромаг,https://boardgamegeek.com/boardgame/351913/tiletum,https://gameland.com.ua/tyletum-tiletum/
1497490868,Декодер. Ювілейне видання (Decrypto),В наявності,970.0,3-8,12+,Games 7 Days,https://boardgamegeek.com/boardgame/225694/decrypto,https://gameland.com.ua/dekoder.-yuvileine-vydannia-decrypto/
1497490865,Земля (Earth),В наявності,2100.0,1-5,13+,Ігромаг,https://boardgamegeek.com/boardgame/350184/earth,https://gameland.com.ua/zemlia-earth/
1497491369,Ера інновацій (Age of Innovation),В наявності,3995.0,1-5,14+,Geekach,https://boardgamegeek.com/boardgame/383179/age-of-innovation,https://gameland.com.ua/era-innovatsii-age-of-innovation/
1497490403,Нортґард. Незвідані землі (Northgard: Uncharted Lands),В наявності,2950.0,2-5,13+,Geekach,https://boardgamegeek.com/boardgame/274124/northgard-uncharted-lands,https://gameland.com.ua/nortgard.-nezvidani-zemli-northgard-uncharted-lands/
1497491609,Сплячі Боги. Далекі небеса. Колекційне видання (Sleeping Gods: Distant Skies),В наявності,4275.0,1-4,13+,Games 7 Days,https://boardgamegeek.com/boardgame/358320/sleeping-gods-distant-skies,https://gameland.com.ua/spliachi-bohy.-daleki-nebesa.-kolektsiine-vydannia-sleeping-gods-distant-skies/
1483678646,Зомбіцид. Друга редакція (Zombicide: 2nd Edition),В наявності,4600.0,1-6,14+,Geekach,https://boardgamegeek.com/boardgame/286751/zombicide-2nd-edition,https://gameland.com.ua/zombitsid.-druga-redaktsiya/
1497491267,Йокогама (Yokohama),В наявності,2495.0,2-4,14+,Ігромаг,https://boardgamegeek.com/boardgame/196340/yokohama,https://gameland.com.ua/yokohama-yokohama/
GKCH206PD,Відьмак. Шлях призначення - Делюкс (The Witcher: Path of Destiny - Deluxe),В наявності,3950.0,1-5,14+,Geekach,https://boardgamegeek.com/boardgame/401325/the-witcher-path-of-destiny,https://gameland.com.ua/vidmak.-shliakh-pryznachennia-deliuks-the-witcher-path-of-destiny-deluxe/
1497491764,Bomb Busters,В наявності,2100.0,2-5,10+,Pegasus Spiele,https://boardgamegeek.com/boardgame/413246/bomb-busters,https://gameland.com.ua/bomb-busters/
1497490704,Вранішнє сонце (Rising Sun),В наявності,4195.0,3-5,14+,Rozum,https://boardgamegeek.com/boardgame/205896/rising-sun,https://gameland.com.ua/vranishnie-sontse-rising-sun/
1497490793,Легенди Дикого Заходу (Western Legends),В наявності,2990.0,2-6,14+,Woodcat,https://boardgamegeek.com/boardgame/232405/western-legends,https://gameland.com.ua/lehendy-dykoho-zakhodu-western-legends/
1497488141,Такеноко. Ювілейне видання (Takenoko) (укр.),В наявності,1950.0,2-4,8+,Geekach,https://boardgamegeek.com/boardgame/70919/takenoko,https://gameland.com.ua/takenoko.-uvileyne-vidannya-ukr./
1497490915,Космобійники (Galaxy Trucker),В наявності,1580.0,2-4,8+,Kilogames,https://boardgamegeek.com/boardgame/336794/galaxy-trucker,https://gameland.com.ua/kosmobiinyky-galaxy-trucker/
1497491632,Ктулху. Смерть може вмерти. Страх перед незвіданим (Cthulhu: Death May Die - Fear of the Unknown),В наявності,4499.0,1-5,14+,Ігромаг,https://boardgamegeek.com/boardgame/373600/cthulhu-death-may-die-fear-of-the-unknown,https://gameland.com.ua/ktulkhu.-smert-mozhe-vmerty.-strakh-pered-nezvidanym-cthulhu-death-may-die-fear-of-the-unknown/
1497489970,Вогнетвір (Flamecraft),В наявності,1895.0,1-5,10+,Ігромаг,https://boardgamegeek.com/boardgame/336986/flamecraft target=,https://gameland.com.ua/vohnetvir-flamecraft/
1497489435,Cosmic Encounter,В наявності,2850.0,3-5,12+,Fantasy Flight Games,https://boardgamegeek.com/boardgame/39463/cosmic-encounter,https://gameland.com.ua/cosmic-encounter/
1497490485,Космічний контакт (Cosmic Encounter: 42nd Anniversary Edition),В наявності,2645.0,3-5,12+,Ігромаг,https://boardgamegeek.com/boardgame/39463/cosmic-encounter,https://gameland.com.ua/kosmichnyi-kontakt-cosmic-encounter/
1497488701,Селестія (Celestia),В наявності,1100.0,2-6,8+,Woodcat,https://boardgamegeek.com/boardgame/175117/celestia,https://gameland.com.ua/selestiya/
1497490625,Terra Mystica: Big Box,В наявності,6550.0,1-5,14+,Capstone Games,https://boardgamegeek.com/boardgame/356238/terra-mystica-big-box,https://gameland.com.ua/terra-mystica-big-box/
